date,group,subj,sex,age-yrs,agesex,type,cause,location
2006-11-03,TWS,Rock,M,10.7,adm,not_specified,,limb
2006-12-05,GS,Bilb,M,4.7,juvm,limp,,limb
2006-12-07,TWS,Rock,M,10.8,adm,limp,,handfoot
2006-12-12,GS,Angle,F,19.8,adf,wound,,tail
2006-12-21,GS,Loli,F,13.8,adf,wound,,tail
2007-01-10,GS,Pluc,M,6.9,juvm,limp,,limb
2007-01-18,TWS,Quac,M,4.9,juvm,limp,,handfoot
2007-01-23,TWS,Rock,M,10.9,adm,limp,,limb
2007-02-01,TWS,Rock,M,11,adm,wound,,headneck
2007-02-22,TWS,Flet,F,19.1,adf,scar,,headneck
2007-02-22,TWS,Gaun,F,19.1,adf,limp,,limb
2007-03-10,GN,Robe,F,4.2,juvf,limp,,limb
2007-03-19,TWN,Putn,M,14.9,adm,limp,,limb
2007-04-23,GS,Spnk,M,6,juvm,limp,,limb
2007-04-25,GS,Ghos,M,12.9,adm,wound,,multiple
2007-04-28,GS,Ghos,M,13,adm,limp,,limb
2007-05-12,TWS,Boga,M,5.2,juvm,limp,,limb
2007-06-12,TWS,Quan,F,14.4,adf,limp,,limb
2007-06-18,GS,OO7 ,F,9.8,adf,limp,,limb
2007-06-29,GS,Lala,F,2.5,juvf,limp,fall from tree,limb
2007-07-17,TWS,Boga,M,5.4,juvm,limp,,limb
2007-07-18,GS,Andy,F,2.2,juvf,limp,,limb
2007-07-30,TWS,Gaun,F,19.5,adf,wound,inter-group aggression,limb
2007-08-01,TWN,Putn,M,15.3,adm,limp,,limb
2007-08-11,TWS,Rock,M,11.5,adm,wound,,tail
2007-08-15,GS,Bolt,M,adult,adm,wound,,limb
2007-08-17,TWS,Ratt,M,9.5,adm,wound,,headneck
2007-08-21,TWS,Feli,M,4.7,juvm,limp,,limb
2007-08-29,TWN,Anni,F,19.5,adf,wound,,tail
2007-09-07,TWN,Didg,F,9.7,adf,wound,,trunk
2007-09-07,TWN,Kitt,F,23.6,adf,limp,,limb
2007-09-10,TWN,Kayl,F,4.5,juvf,wound,,tail
2007-09-11,TWN,Didg,F,9.7,adf,wound,,handfoot
2007-10-09,TWN,Mic,M,11.1,adm,wound,,tail
2007-10-11,GS,Jitt,M,0.7,inf,wound,infanticide,headneck
2007-10-21,TWN,Peta,F,21.7,adf,wound,,tail
2007-10-28,TWN,Putn,M,15.5,adm,limp,,limb
2007-10-29,TWN,Smil,M,14.5,adm,limp,,limb
2007-10-30,GS,Soft,F,12.6,adf,wound,,headneck
2007-10-30,TWN,Peta,F,21.7,adf,wound,,tail
2007-11-08,GS,Aman,M,0.7,inf,limp,,limb
2007-11-12,TWS,Sauc,F,12.6,adf,wound,,tail
2007-11-16,TWS,Twin,F,9.7,adf,wound,,headneck
2007-12-10,TWN,Sur,M,9.2,adm,wound,male-male aggression,handfoot
2007-12-11,GS,Spnk,M,6.6,juvm,limp,,handfoot
2007-12-30,GN,Pinc,F,17.9,adf,not_specified,,limb
2008-01-18,TWN,Sur,M,9.3,adm,limp,,handfoot
2008-02-03,TWN,Didg,F,10.1,adf,wound,,limb
2008-03-11,TWS,Abe,M,5.6,juvm,wound,,tail
2008-03-13,GS,Lily,F,20.1,adf,limp,,limb
2008-03-21,TWS,Durh,M,4.9,juvm,limp,fall from tree,handfoot
2008-03-21,TWS,Gaun,F,20.1,adf,limp,,limb
2008-03-22,TWS,Ardm,F,5.2,juvf,wound,,limb
2008-03-22,TWS,Gand,M,5.2,juvm,limp,,limb
2008-03-30,GS,Pody,F,21.1,adf,wound,,limb
2008-03-30,TWS,Boga,M,6.1,juvm,wound,,limb
