group,Y-m,subj,days_pres,injury_ct,season,sex,age,age-sex,rank,strank,repstate,grpsize_avg,pct_d_newmales,avgperctimmat
GN,2006-11,Dada,30,0,interseason,M,0.93361,inf,,,,36,0,63.88889
GN,2006-12,Dada,31,0,birth,M,1.01574,juvm,,,,36,0,63.88889
GN,2007-01,Dada,31,0,birth,M,1.10062,juvm,,,,37.2,0,65.14067
GN,2007-02,Dada,28,0,birth,M,1.18549,juvm,,,,37.96429,0,65.85298
GN,2007-03,Dada,31,0,birth,M,1.26215,juvm,,,,37.93548,0,65.90419
GN,2007-04,Dada,30,0,interseason,M,1.34702,juvm,,,,37.9,0,65.96728
GN,2007-05,Dada,31,0,interseason,M,1.42916,juvm,,,,37.96774,0,65.84683
GN,2007-06,Dada,30,0,mating,M,1.51403,juvm,,,,37.96667,3.44828,65.85178
GN,2007-07,Dada,31,0,mating,M,1.59617,juvm,,,,38.12903,16.12903,65.57475
GN,2007-08,Dada,31,0,mating,M,1.68104,juvm,,,,37.93548,0,65.90419
GN,2007-09,Dada,30,0,mating,M,1.76591,juvm,,,,38.03333,6.89655,65.73628
GN,2007-10,Dada,31,0,interseason,M,1.84805,juvm,,,,37.96774,0,65.84683
GN,2007-11,Dada,30,0,interseason,M,1.93292,juvm,,,,38,0,65.78947
GN,2007-12,Dada,31,0,birth,M,2.01506,juvm,,,,38.53333,0,66.17251
GN,2008-01,Dada,31,0,birth,M,2.09993,juvm,,,,40.74194,0,65.63336
GN,2008-02,Dada,29,0,birth,M,2.1848,juvm,,,,41,0,64.42389
GN,2008-03,Dada,31,0,birth,M,2.2642,juvm,,,,41.25806,3.22581,62.94922
GN,2008-04,Dada,30,0,interseason,M,2.34908,juvm,,,,42.13333,0,62.02289
GN,2008-05,Dada,31,0,interseason,M,2.43121,juvm,,,,41.90323,0,62.58851
GN,2008-06,Dada,30,0,mating,M,2.51608,juvm,,,,40.1,0,64.90496
GN,2008-07,Dada,31,0,mating,M,2.59822,juvm,,,,38.45161,3.22581,63.50181
GN,2008-08,Dada,31,0,mating,M,2.68309,juvm,,,,38,0,63.15789
GN,2008-09,Dada,30,0,mating,M,2.76797,juvm,,,,37.83333,3.33333,63.44531
GN,2008-10,Dada,31,0,interseason,M,2.8501,juvm,,,,37,0,64.86486
GN,2008-11,Dada,30,0,interseason,M,2.93498,juvm,,,,37,0,64.86486
GN,2008-12,Dada,31,0,birth,M,3.01711,juvm,,,,37.22581,3.33333,65.07671
GN,2009-01,Dada,31,0,birth,M,3.10198,juvm,,,,39.54839,3.22581,64.67983
GN,2009-02,Dada,28,0,birth,M,3.18686,juvm,,,,40.82143,0,66.14765
GN,2009-03,Dada,31,0,birth,M,3.26352,juvm,,,,40.90323,0,66.01298
GN,2009-04,Dada,30,0,interseason,M,3.34839,juvm,,,,41.63333,0,66.36856
GN,2009-05,Dada,31,0,interseason,M,3.43053,juvm,,,,41.96774,0,66.71912
GN,2009-06,Dada,30,0,mating,M,3.5154,juvm,,,,41.3,0,66.09756
GN,2009-07,Dada,31,0,mating,M,3.59754,juvm,,,,41.03226,3.22581,65.80308
GN,2009-08,Dada,31,0,mating,M,3.68241,juvm,,,,41,0,65.85366
GN,2009-09,Dada,30,0,mating,M,3.76728,juvm,,,,41.03333,0,65.80139
GN,2009-10,Dada,31,0,interseason,M,3.84942,juvm,,,,41.03226,3.22581,65.80308
GN,2009-11,Dada,30,0,interseason,M,3.93429,juvm,,,,41,3.33333,65.85366
GN,2009-12,Dada,31,0,birth,M,4.01643,juvm,,,,41.3871,0,65.24671
GN,2010-01,Dada,31,0,birth,M,4.1013,juvm,,,,42.90323,0,63.99246
GN,2010-02,Dada,28,0,birth,M,4.18617,juvm,,,,45.42857,0,62.72637
GN,2010-03,Dada,31,0,birth,M,4.26283,juvm,,,,47.58065,0,64.26733
GN,2010-04,Dada,30,0,interseason,M,4.34771,juvm,,,,48.03333,3.33333,64.5394
GN,2010-05,Dada,31,0,interseason,M,4.42984,juvm,,,,48,0,64.58333
GN,2010-06,Dada,30,0,mating,M,4.51472,juvm,,,,48,3.33333,64.5852
GN,2010-07,Dada,31,0,mating,M,4.59685,juvm,,,,48.09677,6.45161,64.45748
GN,2010-08,Dada,31,0,mating,M,4.68172,juvm,,,,47.83871,0,64.46179
GN,2010-09,Dada,30,0,mating,M,4.7666,juvm,,,,47.06667,10,63.74306
GN,2010-10,Dada,31,0,interseason,M,4.84873,juvm,,,,46.58065,0,63.50004
GN,2010-11,Dada,30,0,interseason,M,4.93361,juvm,,,,46.03333,10,63.00075
GN,2010-12,Dada,31,0,birth,M,5.01574,juvm,,,,44.16129,12.90323,63.47996
GN,2011-01,Dada,31,0,birth,M,5.10062,juvm,,,,46.93548,9.67742,65.64384
GN,2011-02,Dada,28,0,birth,M,5.18549,juvm,,,,50.03571,3.57143,67.95238
GN,2011-03,Dada,31,0,birth,M,5.26215,juvm,,,,51.09677,9.67742,68.50787
GN,2011-04,Dada,30,0,interseason,M,5.34702,juvm,,,,51.23333,23.33333,68.32117
GN,2011-05,Dada,31,0,interseason,M,5.42916,juvm,,,,51.29032,19.35484,68.24911
GN,2011-06,Dada,30,0,mating,M,5.51403,juvm,,,,51.3,13.33333,68.24601
GN,2011-07,Dada,31,0,mating,M,5.59617,juvm,,,,51.19355,16.12903,68.37362
GN,2011-08,Dada,31,0,mating,M,5.68104,juvm,,,,50.74194,22.58065,68.99518
GN,2011-09,Dada,30,0,mating,M,5.76591,juvm,,,,51,80,68.64309
GN,2011-10,Dada,31,0,interseason,M,5.84805,juvm,,,,50,96.77419,67.68515
GN,2011-11,Dada,30,0,interseason,M,5.93292,juvm,,,,48.56667,96.66667,67.9623
GN,2011-12,Dada,31,0,birth,M,6.01506,juvm,,,,47.3871,3.22581,68.27528
GN,2012-01,Dada,31,0,birth,M,6.09993,juvm,,,,46.74194,3.22581,67.83743
GN,2012-02,Dada,29,0,birth,M,6.1848,juvm,,,,46.06897,6.89655,67.29242
GN,2012-03,Dada,31,0,birth,M,6.2642,juvm,,,,46.03226,3.44828,67.35483
GN,2012-04,Dada,30,0,interseason,M,6.34908,juvm,,,,46.7,29.62963,66.43846
GN,2012-05,Dada,31,0,interseason,M,6.43121,juvm,,,,45.41935,46.66667,64.81368
GN,2012-06,Dada,30,0,mating,M,6.51608,juvm,,,,44.13333,3.44828,65.71593
GN,2012-07,Dada,31,3,mating,M,6.59822,juvm,,,,43.93548,10,66.23437
GN,2012-08,Dada,31,0,mating,M,6.68309,juvm,,,,43.09677,19.35484,67.29353
GN,2012-09,Dada,30,0,mating,M,6.76797,juvm,,,,43.63333,42.85714,66.50264
GN,2012-10,Dada,31,0,interseason,M,6.8501,juvm,,,,43.77419,100,66.28394
GN,2012-11,Dada,30,0,interseason,M,6.93498,juvm,,,,43.36667,75,66.89365
GN,2012-12,Dada,31,0,birth,M,7.01711,juvm,,,,43.19355,10,67.14959
GN,2013-01,Dada,31,0,birth,M,7.10198,juvm,,,,43.6129,35.48387,66.73321
GN,2013-02,Dada,28,0,birth,M,7.18686,juvm,,,,44.32143,46.15385,67.8639
GN,2013-03,Dada,31,0,birth,M,7.26352,juvm,,,,44.41935,17.85714,68.13659
GN,2013-04,Dada,30,0,interseason,M,7.34839,juvm,,,,45.96667,26.66667,68.75507
GN,2013-05,Dada,31,0,interseason,M,7.43053,juvm,,,,47.96774,13.33333,70.41913
GN,2013-06,Dada,30,0,mating,M,7.5154,juvm,,,,48.56667,33.33333,70.03346
GN,2013-07,Dada,31,0,mating,M,7.59754,juvm,,,,51.29032,96.77419,66.35011
GN,2013-08,Dada,31,0,mating,M,7.68241,juvm,,,,51.03226,96.77419,66.72051
GN,2013-09,Dada,30,0,mating,M,7.76728,juvm,,,,50.5,63.33333,70.06238
GN,2013-10,Dada,31,0,interseason,M,7.84942,juvm,,,,50.22581,19.35484,71.68121
GN,2006-11,Daff,30,0,interseason,F,6.97057,juvf,15,0,other,36,0,63.88889
GN,2006-12,Daff,31,0,birth,F,7.0527,juvf,15,0,other,36,0,63.88889
GN,2007-01,Daff,31,0,birth,F,7.13758,juvf,17,0.05882,other,37.2,0,65.14067
GN,2007-02,Daff,28,0,birth,F,7.22245,juvf,17,0.05882,other,37.96429,0,65.85298
GN,2007-03,Daff,31,0,birth,F,7.29911,juvf,17,0.05882,other,37.93548,0,65.90419
GN,2007-04,Daff,30,0,interseason,F,7.38398,juvf,17,0.05882,other,37.9,0,65.96728
GN,2007-05,Daff,31,0,interseason,F,7.46612,juvf,17,0.05882,sexactive,37.96774,0,65.84683
GN,2007-06,Daff,30,0,mating,F,7.55099,juvf,17,0.05882,other,37.96667,3.44828,65.85178
GN,2007-07,Daff,31,0,mating,F,7.63313,juvf,17,0.05882,preg-lact,38.12903,16.12903,65.57475
GN,2007-08,Daff,31,0,mating,F,7.718,juvf,17,0.05882,preg-lact,37.93548,0,65.90419
GN,2007-09,Daff,30,0,mating,F,7.80287,juvf,17,0.05882,preg-lact,38.03333,6.89655,65.73628
GN,2007-10,Daff,31,0,interseason,F,7.88501,juvf,17,0.05882,preg-lact,37.96774,0,65.84683
GN,2007-11,Daff,30,0,interseason,F,7.96988,juvf,17,0.05882,preg-lact,38,0,65.78947
GN,2007-12,Daff,31,0,birth,F,8.05202,af,17,0.05882,preg-lact,38.53333,0,66.17251
