Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta [Candidatus Vidania fulgoroideorum],2147,2147,36%,0.0,100.00,1289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_458659114.1?report=genbank&log$=prottop&blast_rank=1&RID=V0PN6D6F014"",""WP_458659114.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],1737,1737,35%,0.0,100.00,1284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_458659115.1?report=genbank&log$=prottop&blast_rank=2&RID=V0PN6D6F014"",""WP_458659115.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],820,874,29%,0.0,58.74,1285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455315865.1?report=genbank&log$=prottop&blast_rank=3&RID=V0PN6D6F014"",""WP_455315865.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],794,794,11%,0.0,100.00,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_458659109.1?report=genbank&log$=prottop&blast_rank=4&RID=V0PN6D6F014"",""WP_458659109.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],730,949,30%,0.0,60.43,1289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455295572.1?report=genbank&log$=prottop&blast_rank=5&RID=V0PN6D6F014"",""WP_455295572.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],729,798,30%,0.0,54.61,1296,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455296293.1?report=genbank&log$=prottop&blast_rank=6&RID=V0PN6D6F014"",""WP_455296293.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],690,690,25%,0.0,54.26,1288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455290561.1?report=genbank&log$=prottop&blast_rank=7&RID=V0PN6D6F014"",""WP_455290561.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],688,688,26%,0.0,51.22,1288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455293270.1?report=genbank&log$=prottop&blast_rank=8&RID=V0PN6D6F014"",""WP_455293270.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],664,664,25%,0.0,51.25,1288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455295936.1?report=genbank&log$=prottop&blast_rank=9&RID=V0PN6D6F014"",""WP_455295936.1"")"
2 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],651,651,11%,0.0,81.82,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455316181.1?report=genbank&log$=prottop&blast_rank=10&RID=V0PN6D6F014"",""WP_455316181.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],641,641,11%,0.0,80.25,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455315859.1?report=genbank&log$=prottop&blast_rank=11&RID=V0PN6D6F014"",""WP_455315859.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],639,639,11%,0.0,76.46,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455290555.1?report=genbank&log$=prottop&blast_rank=12&RID=V0PN6D6F014"",""WP_455290555.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],639,639,11%,0.0,78.48,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455299197.1?report=genbank&log$=prottop&blast_rank=13&RID=V0PN6D6F014"",""WP_455299197.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],638,638,11%,0.0,76.96,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455295930.1?report=genbank&log$=prottop&blast_rank=14&RID=V0PN6D6F014"",""WP_455295930.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,DNA-directed RNA polymerase subunit beta' [Candidatus Vidania fulgoroideorum],627,770,24%,0.0,53.54,1210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455316186.1?report=genbank&log$=prottop&blast_rank=15&RID=V0PN6D6F014"",""WP_455316186.1"")"
1 member(s) 1 organism(s),beta proteobacterium endosymbiont of Hyalesthes obsoletus HO1-V,elongation factor Tu [Candidatus Vidania fulgoroideorum],624,624,11%,0.0,74.05,393,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_455296287.1?report=genbank&log$=prottop&blast_rank=16&RID=V0PN6D6F014"",""WP_455296287.1"")"
